stop_name,stop_lat,location_type,stop_lon,stop_id,parent_station
Bole Arabsa (3),8.9963324,0,38.8855436,node/7037183547,
Bole Arabsa (2),8.9841602,0,38.8851362,node/7037183548,
Bole Arabsa,8.9733148,0,38.8902717,node/7037183550,
St. Gebereal,8.9654075,0,38.8849449,node/7037183551,
Yeka Condominium 1,9.0354891,0,38.877919,node/7037183552,
Tafo Gebrael,9.0381306,0,38.8777819,node/7037183554,
Tafo Condominium 1,9.0505157,0,38.8779667,node/7037183555,
Tafo Mebrathail,9.0425957,0,38.8773973,node/7037183557,
Tafo Mebrathail,9.0427743,0,38.877866,node/7037183558,
Tafo Condominium 2,9.0465834,0,38.8779122,node/7037183559,
Kara Condominium,9.0501511,0,38.8705589,node/7037183562,
Yeka Abado,9.0666282,0,38.8647703,node/7037183563,
Sara Ampol (Gedera),9.0571811,0,38.8737753,node/7037183565,
Sara Ampol,9.0580264,0,38.8742538,node/7037183567,
Aba Kiros,9.0606875,0,38.8812971,node/7037183569,
Makefafeya,9.0630654,0,38.8841651,node/7037183570,
Gari Tera,9.0670494,0,38.8892044,node/7037183571,
CCD,9.0707009,0,38.8938058,node/7037183572,
140,9.0718221,0,38.8952147,node/7037183573,
Legedadi Mission,9.0818058,0,38.9074861,node/7037183574,
Legedadi Mission,9.0821737,0,38.90832,node/7037183575,
Selam Building,8.8832064,0,38.7771628,node/7041052894,
Gojo Hotel,8.8910809,0,38.7768265,node/7041052895,
Kality Meneharia,8.8958596,0,38.7717913,node/7041052896,
Cheralia Factory,8.9029458,0,38.7668359,node/7041052897,
Cheralia Factory,8.9029223,0,38.7667452,node/7041052898,
Kality Gebriel,8.9113422,0,38.7638335,node/7041052900,
Kality Prison,8.9124672,0,38.7633323,node/7041052901,
Hana Maryam,8.928137,0,38.7416641,node/7041052912,
Tabelew,8.9274906,0,38.6590102,node/7041052914,
Alem Gena,8.9230001,0,38.6526472,node/7041052916,
Alem Gena,8.9229882,0,38.652656,node/7041052917,
Mekanisa (Old Revenues Office),8.9683942,0,38.73129,node/7041052927,
German Square,8.9656974,0,38.7327236,node/7041052928,
Gebriel Bridge,8.9556239,0,38.7324437,node/7041052932,
Gebriel Bridge,8.955596,0,38.7327233,node/7041052934,
Mebrathile (EEPCo),8.9469471,0,38.7339608,node/7041052935,
Mekanisa School,8.9790248,0,38.7341955,node/7041052936,
Abo,8.9785916,0,38.7339384,node/7041052937,
Sheged Hotel,8.973373,0,38.7246092,node/7041052938,
Jemo Michael,8.9673959,0,38.720836,node/7041052939,
Jemo Michael,8.966996,0,38.7209392,node/7041052940,
Jemo YBP (All Mart),8.9614893,0,38.7152564,node/7041052942,
Jemo 1,8.9606358,0,38.7123763,node/7041052944,
Jemo 1,8.9604074,0,38.7124284,node/7041052945,
Mestawet Fabrica,8.9595125,0,38.7084697,node/7041052946,
Mestawet Fabrica,8.958513,0,38.7059934,node/7041052948,
Jemo 3,8.9564,0,38.6992718,node/7041052949,
Jemo 3,8.9556244,0,38.6985348,node/7041052950,
Zenebework,8.9866742,0,38.7077567,node/7041052951,
Welete Maryam,8.9611777,0,38.6713097,node/7041052952,
Mickael Bridge,8.9657858,0,38.7272059,node/7041052953,
Gerar,8.9813447,0,38.689429,node/7041052954,
Repi (Gerar),8.9793804,0,38.6852022,node/7041052955,
Gebre Kirstos,8.9773403,0,38.7220154,node/7041052957,
Bisrate Gebrael,8.9884304,0,38.7228933,node/7041052958,
Gofa Gebriel (2),8.9753751,0,38.7488548,node/7041052959,
MOHA (Pepsi Factory),8.9822682,0,38.7560783,node/7041052965,
Addis Sefer (Gebriel),8.9555778,0,38.7743852,node/7041052966,
Addis Sefer (Gebriel),8.9555403,0,38.77441,node/7041052967,
Gotera (Oilibiya),8.9762662,0,38.7600125,node/7041052969,
Gotera (Oilibiya),8.976182,0,38.7598239,node/7041052970,
St. Joseph Church,8.9697308,0,38.7620577,node/7041052975,
kadisco Building,8.9659447,0,38.7627885,node/7041052977,
kadisco Building,8.965927,0,38.762999,node/7041052978,
Kadisco,8.9637596,0,38.7630788,node/7041052979,
Adey Abeba,8.9583017,0,38.7640609,node/7041052980,
Adey Abeba,8.9582595,0,38.7638459,node/7041052982,
Saris (CBE),8.9528662,0,38.7635583,node/7041071286,
Saris (CBE/Shoa Bakery),8.9527596,0,38.7633266,node/7041071287,
Abo Junction,8.9450003,0,38.7661044,node/7041071289,
Abo Junction,8.9450733,0,38.7663069,node/7041071290,
Customs (Train Station),8.9380959,0,38.763132,node/7041071291,
Kality Maseltegna,8.9323275,0,38.766627,node/7041071295,
Wehalemat,8.9298185,0,38.7681616,node/7041071296,
Werku Sefer,8.9331651,0,38.775077,node/7041071297,
Bulgaria Mazoria,8.9950292,0,38.7478244,node/7041071342,
Begtera,8.9971703,0,38.7475059,node/7041071344,
AU (Mikael) Rounrdabout,8.9990638,0,38.7394459,node/7041071347,
AU (Mikael) Rounrdabout,8.9990569,0,38.7395945,node/7041071348,
Bulgaria,8.9937942,0,38.7478465,node/7041071350,
Global Hotel,8.9941475,0,38.7595772,node/7041071352,
Global Hotel,8.9941836,0,38.7598183,node/7041071353,
Beklo Bet (Global),8.9953383,0,38.7596352,node/7041071354,
Tele Garage,9.000141,0,38.7584812,node/7041071355,
Riche,9.0043253,0,38.7586986,node/7041071356,
6th (Raddison Blu),9.0166957,0,38.7669535,node/7041071359,
Filweha (Hotsprings),9.017718,0,38.7572645,node/7041071360,
Filweha (Hotsprings),9.0175554,0,38.7570579,node/7041071362,
Ghion Hotel (Enterance),9.0138328,0,38.7576145,node/7041071364,
St. Joseph School,9.0098008,0,38.7591876,node/7041071367,
St. Joseph School,9.0104995,0,38.7592761,node/7041071370,
Admas University College,9.0105316,0,38.7590434,node/7041071371,
Lalibela Hotel,9.0118612,0,38.7570112,node/7041071372,
Stadium,9.0121294,0,38.7560438,node/7041071374,
Legehar,9.011849,0,38.7545386,node/7041071376,
Legehar,9.0117857,0,38.7539285,node/7041071377,
Legehar (Old Train Station),9.0109604,0,38.7533069,node/7041071378,
Mexico,9.0097755,0,38.7461963,node/7041071380,
African Union,9.0031416,0,38.7414166,node/7041071382,
Popolare,9.0053059,0,38.7423863,node/7041071383,
Guenet Hotel,9.0046908,0,38.7466748,node/7041071384,
Guenet Hotel,9.0032786,0,38.74694,node/7041071385,
Tikur Anbessa Hospital,9.0210743,0,38.7488977,node/7041071386,
Goma Quteba,9.0175836,0,38.7464631,node/7041071387,
Abenet,9.0214263,0,38.7334947,node/7041071388,
Lideta Condominium,9.0132791,0,38.7345522,node/7041071389,
Darmar,9.0157856,0,38.7348248,node/7041071390,
Austria Embassy,8.9939406,0,38.7278809,node/7041071392,
Mechare Meda,8.9936591,0,38.727499,node/7041071393,
3 Kutir Mazoriya (Total),8.9925902,0,38.7152417,node/7041071395,
Minaye Building,8.995414,0,38.7184074,node/7041071397,
Old Airport (Mobil),8.9998642,0,38.7191221,node/7041071399,
Tor Hailoch,9.0099949,0,38.7206897,node/7041071400,
Keranio Mewcha,9.0133411,0,38.7100309,node/7041071401,
Holand,9.0213057,0,38.7159484,node/7041071402,
Meseret Edget,9.0245409,0,38.714954,node/7041071403,
Teklehaymanot,9.0278226,0,38.7440603,node/7041071404,
Kebele 11,9.0247481,0,38.7458014,node/7041071405,
Tewodros Square,9.0262634,0,38.75166,node/7041071406,
Tewodros Square,9.0263826,0,38.7517909,node/7041071407,
Black Lion,9.0218352,0,38.7521859,node/7041071411,
National Theatre,9.0158768,0,38.751592,node/7041071414,
National Theatre,9.0156938,0,38.7513097,node/7041071415,
A.A. Commercial College,9.0139102,0,38.7494881,node/7041071416,
A.A. Commercial College,9.0138228,0,38.7495568,node/7041071418,
