route_long_name,route_short_name,agency_id,route_id,route_type,route_desc,route_color,route_text_color
18 Mazoria ↔ 22 Mazoria (Minibus),Tx Kolfa 037,AA,15961885,3,,1779c2,ffffff
Saris ↔ Stadium (Minibus),Tx KRK 014,AA,15961978,3,,1779c2,ffffff
Saris Abo ↔ Mexico (Minibus),Tx KRK 015,AA,15962019,3,,1779c2,ffffff
Piassa Arada ↔ Kera (Minibus),Tx KRK 016,AA,15962065,3,,1779c2,ffffff
Stadium ↔ Bole Bridge (Minibus),Tx KRK 017,AA,15962103,3,,1779c2,ffffff
Bole Mickael ↔ Buna Ena Shay (Minibus),Tx KRK 020,AA,15962159,3,,1779c2,ffffff
Merab Hotel ↔ Jemmo 1 (Minibus),Tx Lafto 034,AA,15963098,3,,1779c2,ffffff
Gofa Gebriel ↔ Atena Tera (Minibus),Tx Lafto 042,AA,15963187,3,,1779c2,ffffff
Ayat ↔ Megenagna (Minibus),Tx LK 016,AA,15963257,3,,1779c2,ffffff
Merkato ↔ Lukanda (Minibus),Tx ADK 039,AA,15970722,3,,1779c2,ffffff
Tero Mosque ↔ Merkato (Minibus),Tx ADK 040,AA,15970883,3,,1779c2,ffffff
Sebategna ↔ Luwkanda (Minibus),Tx ADK 045,AA,15970955,3,,1779c2,ffffff
Luwkanda ↔ Piassa Arada (Minibus),Tx ARD 013,AA,15971057,3,,1779c2,ffffff
Rufael ↔ Piassa Arada (Minibus),Tx Gl 015,AA,15971140,3,,1779c2,ffffff
Piassa Arada ↔ Selefia Mosque (Minibus),Tx Kolfe 035,AA,15973776,3,,1779c2,ffffff
Piassa Arada ↔ 18 Mazoria (Minibus),Tx Kolfa 042,AA,15973832,3,,1779c2,ffffff
Saris ↔ Akaki Gebeya (Minibus),Tx Lafto 038,AA,15973924,3,,1779c2,ffffff
Akaki Gebeya ↔ Adey Abeba (Minibus),Tx Lafto 039,AA,15974268,3,,1779c2,ffffff
Lafto ↔ Jemmo 1 (Minibus),Tx Lafto 040,AA,15974308,3,,1779c2,ffffff
Saris ↔ Yeshi Total (Minibus),Tx Lafto 043,AA,15974328,3,,1779c2,ffffff
Kotebe Gebriel ↔ Megenagna (Minibus),Tx YK 002,AA,15974746,3,,1779c2,ffffff
Kotebe ↔ 4 Kilo (Minibus),Tx YK 008,AA,15974793,3,,1779c2,ffffff
Yeka Abado ↔ Megenagna (Minibus),Tx YK 014,AA,15974906,3,,1779c2,ffffff
22 Mazoria ↔ Summit (Minibus),Tx Bole 007,AA,15992541,3,,1779c2,ffffff
Summit ↔ Bole Bridge (Minibus),Tx Bole 008,AA,15992646,3,,1779c2,ffffff
Riventy ↔ Bole Mickael (Minibus),Tx Bole 017,AA,15992742,3,,1779c2,ffffff
Lomi Meda ↔ Atena Tera (Minibus),Tx ADK 005,AA,15992882,3,,1779c2,ffffff
Atena Tera ↔ Sebategna (Minibus),Tx ADK 006,AA,15992969,3,,1779c2,ffffff
