trip_id,route_id,service_id,shape_id,direction_id,trip_headsign
195,15869366,0,15869364,1,German Square
196,15869889,0,15869888,0,Mexico
197,15869889,0,15869887,1,German Square
198,15870075,0,15870073,0,Mexico
199,15870075,0,15870074,1,Mekanisa Abo
200,15870224,0,15870222,0,Mekanisa
201,15870224,0,15870223,1,Piassa Arada
202,15870632,0,15870630,0,Sefera
203,15870632,0,15870631,1,Mexico
204,15870793,0,15870791,0,Jemmo Mickael
205,15870793,0,15870792,1,Autobis Tera
206,15870960,0,15870959,0,Kality Menaheria
207,15870960,0,15870958,1,Jemmo 1
208,15871080,0,15871078,0,Mebrathile
209,15871080,0,15871079,1,Ayer Tena
210,15871275,0,15871273,0,Mexico
211,15871275,0,15871274,1,Mebrathile
212,15871624,0,15871623,0,Merab Hotel
213,15871624,0,15871622,1,Alem Bank
214,15876625,0,15876624,0,Mexico
215,15876625,0,15876623,1,Alem Bank
216,15876725,0,15876723,0,Alem Bank
217,15876725,0,15876724,1,Mexico Shebelle Hotel
218,15876752,0,15876751,0,Torhayloch
219,15876752,0,15876750,1,Alem Bank
220,15876870,0,15876869,0,Germen Square
221,15876870,0,15876868,1,Ayer Tena
222,15876935,0,15876934,0,Jemmo 1
223,15876935,0,15876933,1,Ayer Tena
224,15877451,0,15877450,0,Mexico
225,15877451,0,15877449,1,Ayer Tena
226,15877500,0,15877499,0,Mexico Shebelle Hotel
227,15877500,0,15877498,1,Betel
228,15879148,0,15879146,0,Zenebewerk
229,15879148,0,15879147,1,Mexico
230,15880133,0,15880131,0,Alem Bank
231,15880133,0,15880132,1,18 Mazoria
232,15880213,0,15880212,0,Merab Hotel
233,15880213,0,15880211,1,Ayer Tena
234,15880308,0,15880307,0,Merab Hotel
235,15880308,0,15880306,1,Betel
236,15880397,0,15880396,0,Merab Hotel
237,15880397,0,15880395,1,Kara Kore
238,15880659,0,15880657,0,Zenebewerk
239,15880659,0,15880658,1,Piassa Arada
240,15881004,0,15881002,0,Zenebewerk
241,15881004,0,15881003,1,Mexico Shebelle Hotel
242,15881508,0,15881506,0,Zenebewerk Menharia
243,15881508,0,15881507,1,Autobus Tera
244,15881684,0,15881683,0,Atena Tera
245,15881684,0,15881682,1,Alem Bank
246,15882444,0,15882443,0,Mexico Shebelle Hotel
247,15882444,0,15882442,1,Kara Kore
248,15882498,0,15882497,0,Tekle Haimanot
249,15882498,0,15882496,1,Kara Kore
250,15882550,0,15882548,0,Kara Kore
251,15882550,0,15882549,1,Autobus Tera
252,15882638,0,15882636,0,Kara Kore
253,15882638,0,15882637,1,Atena Tera
254,15883171,0,15883169,0,Ayer Tena
255,15883171,0,15883170,1,Asko
256,15885969,0,15885967,0,Yeshi Debele
257,15885969,0,15885968,1,Atena Tera
258,15886152,0,15886150,0,Kara Kore
259,15886152,0,15886151,1,18 Mazoria
260,15887144,0,15887142,0,Yeshi Debele
261,15887144,0,15887143,1,Sebategna
262,15887191,0,15887189,0,Yeshi Debele
263,15887191,0,15887190,1,Winget
264,15887240,0,15887238,0,Yeshi Debele
265,15887240,0,15887239,1,18 Mazoria
266,15898347,0,15898346,0,Leghar
267,15898347,0,15898345,1,Kality Total
268,15900380,0,15900378,0,Atena Tera
269,15900380,0,15900379,1,Addisu Gebeya
270,15900555,0,15900554,0,Addisu Gebeya
271,15900555,0,15900553,1,Ertirea Hotel
272,15900883,0,15900881,0,Piassa
273,15900883,0,15900882,1,Kechenie
274,15901020,0,15901019,0,Shegole
275,15901020,0,15901018,1,Piassa Arada
276,15901146,0,15901145,0,Megenagna (Marathon Motors)
277,15901146,0,15901144,1,6 Kilo
278,15901995,0,15901994,0,Kazanchis
279,15901995,0,15901993,1,6 Kilo
280,15902043,0,15902042,0,Piassa
281,15902043,0,15902041,1,Addisu Gebeya
282,15902171,0,15902170,0,Shiromeda
283,15902171,0,15902169,1,Kazanchis
284,15902285,0,15902283,0,Shiromeda
285,15902285,0,15902284,1,Raguel Church
286,15902321,0,15902319,0,Mexico
287,15902321,0,15902320,1,Addisu Gebeya
288,15903001,0,15902999,0,Addisu Gebeya
289,15903001,0,15903000,1,Asko
290,15903091,0,15903090,0,Shegole
291,15903091,0,15903089,1,Autobis Tera
292,15903260,0,15903259,0,Summit Condominiums
293,15903260,0,15903258,1,Aba Kiros
294,15903402,0,15903401,0,Ayat
295,15903402,0,15903400,1,Bole Arabsa
296,15903454,0,15903453,0,Aba Kiros
297,15903454,0,15903452,1,Bole Arabsa
298,15903518,0,15903517,0,Megenagna
299,15903518,0,15903516,1,Summit Condominiums
300,15904627,0,15904626,0,Tafo Square
301,15904627,0,15904625,1,Megenagna
302,15904691,0,15904690,0,Goro
303,15904691,0,15904689,1,Bole Arabsa
304,15904811,0,15904810,0,22 Mazoria
305,15904811,0,15904809,1,Ayat Chefe Condominium
306,15905759,0,15905757,0,Goro
307,15905759,0,15905758,1,Aba Kiros
308,15905796,0,15905795,0,Aba Kiros
309,15905796,0,15905794,1,Megenagna
310,15905849,0,15905848,0,Megenagna
311,15905849,0,15905847,1,Ayat Chefe Condominium
312,15906133,0,15906131,0,Summit Condominiums
313,15906133,0,15906132,1,Megenagna
314,15906163,0,15906161,0,Bole Arabsa
315,15906163,0,15906162,1,Ayat
316,15906876,0,15906874,0,Torhayloch
317,15906876,0,15906875,1,Piassa Arada
318,15906946,0,15906944,0,Torhayloch
319,15906946,0,15906945,1,Stadium
320,15907058,0,15907056,0,Torhayloch
321,15907058,0,15907057,1,Megenagna
322,15907234,0,15907233,0,Tekle Haimanot
323,15907234,0,15907232,1,Megenagna
324,15907305,0,15907304,0,Asko
325,15907305,0,15907303,1,Torhayloch
326,15909909,0,15909907,0,Megenagna
327,15909909,0,15909908,1,Addisu Gebeya
328,15909991,0,15909989,0,Megenagna
329,15909991,0,15909990,1,Kara
330,15910058,0,15910057,0,Shiromeda
